ecg,gsr,temp,hr,spo2,timest
1.8671,0.2199,38.4300,73,96,208285
1.8671,0.2151,38.4000,73,96,208288
1.8524,0.2346,38.4900,73,96,208292
1.8573,0.2151,38.4900,73,96,208295
1.8915,0.2248,38.4000,73,96,208299
1.8719,0.2199,38.4600,73,96,208303
1.8866,0.2199,38.0500,73,96,208306
1.8622,0.2151,38.4600,73,96,208309
1.8622,0.2151,38.4900,73,96,208313
1.8915,0.2248,38.3300,73,96,208316
1.8573,0.2151,38.4900,73,96,208319
1.9110,0.2102,38.3300,73,96,208322
1.8719,0.2151,38.4000,73,96,208326
1.8768,0.2199,38.4900,73,96,208329
1.8964,0.2199,38.4000,73,96,208332
1.8719,0.2151,38.5800,73,96,208336
1.9110,0.2151,38.2400,73,96,208339
1.8817,0.2199,38.4900,73,96,208343
1.8719,0.2395,38.4900,73,96,208347
1.8964,0.2199,38.4300,73,96,208350
1.8768,0.2151,38.6500,73,96,208353
1.9208,0.2102,38.2100,73,96,208357
1.8768,0.2151,38.4000,73,96,208360
1.8768,0.2199,38.4900,73,96,208363
1.8866,0.2199,38.4600,73,96,208366
1.8768,0.2199,38.4900,73,96,208370
1.9306,0.2346,38.2400,73,96,208373
1.8719,0.2297,38.4300,73,96,208376
1.8622,0.2102,38.4000,73,96,208380
1.8426,0.2151,38.4900,73,96,208384
1.8622,0.2102,38.4900,73,96,208387
1.8719,0.2248,38.6800,73,96,208391
1.8475,0.2199,38.4600,73,96,208394
1.8622,0.2151,37.5900,73,96,208397
1.8573,0.2102,38.4600,73,96,208401
1.8328,0.2151,38.4900,73,96,208404
1.8719,0.2248,38.3600,73,96,208407
1.8671,0.2151,38.4600,73,96,208410
1.8964,0.2199,38.4000,73,96,208414
1.8622,0.2248,38.5500,73,96,208417
1.8524,0.2151,38.5200,73,96,208420
1.8524,0.2053,38.3600,73,96,208424
1.8377,0.2151,38.4900,73,96,208428
1.8622,0.2151,38.3000,73,96,208431
1.8328,0.2151,38.4600,73,96,208435
1.8328,0.2297,38.5500,73,96,208438
1.8573,0.2248,38.4300,73,96,208441
1.8426,0.2493,38.5500,73,96,208445
1.8817,0.2199,38.2100,73,96,208448
1.8622,0.2199,38.4000,73,96,208451
1.8377,0.2151,38.4900,73,96,208454
1.8475,0.2199,38.4900,73,96,208458
1.8573,0.2199,38.4900,73,96,208461
1.8915,0.2297,38.2100,73,96,208464
1.8524,0.2151,38.4300,73,96,208468
1.8475,0.2102,38.4300,73,96,208472
1.8524,0.2151,38.4900,73,96,208475
1.8524,0.2151,38.4900,73,96,208479
