ecg,gsr,temp,hr,spo2,timest
1.7498,0.3617,39.5100,101,98,256086
1.7204,0.3519,39.6400,101,98,256090
1.7155,0.3421,39.6700,101,98,256093
1.7155,0.3421,39.7000,101,98,256096
1.7107,0.3421,39.7300,101,98,256100
1.7302,0.3470,39.6400,101,98,256103
1.7009,0.3470,39.7300,101,98,256107
1.7400,0.3519,39.6000,101,98,256110
1.7351,0.3421,39.7700,101,98,256113
1.8035,0.3519,39.7000,101,98,256117
1.9453,0.3519,39.6000,101,98,256120
2.1359,0.3421,39.7700,101,98,256123
2.4096,0.3470,39.4800,101,98,256128
2.6588,0.3519,39.6000,101,98,256131
2.9032,0.3421,39.7700,101,98,256134
3.1183,0.3470,39.6400,101,98,256138
3.1867,0.3421,39.0000,101,98,256141
3.2111,0.3617,39.5400,101,98,256144
2.9961,0.3470,39.5700,101,98,256148
2.8104,0.3470,39.6000,101,98,256151
2.5758,0.3421,39.7700,101,98,256155
2.3558,0.3421,39.7000,101,98,256158
2.1701,0.3470,39.7000,101,98,256161
1.9648,0.3421,39.7300,101,98,256165
1.8328,0.3372,39.5700,101,98,256168
1.7107,0.3275,39.7000,101,98,256172
1.6080,0.3372,39.7300,101,98,256176
1.5689,0.3519,39.6000,101,98,256179
1.5103,0.3421,39.7300,101,98,256182
1.5200,0.3519,39.4800,101,98,256186
1.4809,0.3470,39.6700,101,98,256189
1.4858,0.3372,39.7000,101,98,256192
1.4907,0.3470,39.7000,101,98,256196
1.4809,0.3421,39.7300,101,98,256199
1.5200,0.3519,39.5700,101,98,256203
1.4956,0.3715,39.6700,101,98,256206
1.5249,0.3470,39.6000,101,98,256209
1.5249,0.3421,39.7000,101,98,256214
1.5445,0.3421,39.8300,101,98,256217
1.5885,0.3470,39.7000,101,98,256220
1.5787,0.3421,39.7300,101,98,256224
1.6227,0.3470,39.5400,101,98,256227
1.6276,0.3470,39.6000,101,98,256230
1.6325,0.3421,39.7300,101,98,256234
1.6667,0.3470,39.7300,101,98,256237
1.6618,0.3421,39.7000,101,98,256241
1.7253,0.3568,39.4400,101,98,256244
1.7009,0.3470,39.7300,101,98,256247
1.7107,0.3421,39.6700,101,98,256251
1.7204,0.3275,39.7000,101,98,256254
1.7595,0.3372,39.7300,101,98,256258
1.7693,0.3470,39.6000,101,98,256262
1.7595,0.3275,39.7000,101,98,256265
1.8035,0.3568,39.5700,101,98,256268
1.7937,0.3715,39.6700,101,98,256272
1.8133,0.3421,39.7000,101,98,256275
1.8475,0.3519,39.5700,101,98,256278
1.8328,0.3421,39.7700,101,98,256282
1.8866,0.3519,39.8600,101,98,256285
1.8719,0.3372,39.7000,101,98,256289
1.8817,0.3421,39.6700,101,98,256292
1.9062,0.3763,39.7700,101,98,256295
1.9159,0.3519,39.8300,101,98,256300
1.9892,0.3666,39.5400,101,98,256303
1.9648,0.3568,39.7700,101,98,256306
1.9941,0.3421,39.6000,101,98,256310
1.9941,0.3372,39.7000,101,98,256313
2.0137,0.3470,39.7700,101,98,256316
2.0577,0.3568,39.6400,101,98,256320
2.0332,0.3421,39.7300,101,98,256323
2.0626,0.3421,39.5700,101,98,256327
2.0430,0.3421,39.6400,101,98,256330
2.0381,0.3421,39.7300,101,98,256333
2.0577,0.3470,38.9300,101,98,256337
2.0332,0.3421,39.7000,101,98,256340
2.0772,0.3568,39.4800,101,98,256344
2.0235,0.3275,39.6400,101,98,256348
2.0283,0.3470,39.7000,101,98,256351
2.0283,0.3470,39.7000,101,98,256354
2.0088,0.3421,39.7700,101,98,256358
2.0430,0.3568,39.5700,101,98,256361
1.9892,0.3519,39.6700,101,98,256364
1.9795,0.3421,39.6000,101,98,256368
1.9355,0.3519,39.7700,101,98,256371
1.9208,0.3372,39.7300,101,98,256374
1.9062,0.3421,39.6000,101,98,256378
1.8524,0.3421,39.7700,101,98,256381
1.8475,0.3470,39.5400,101,98,256386
1.7937,0.3519,39.6700,101,98,256389
1.7644,0.3470,39.7300,101,98,256392
1.7595,0.3470,39.6400,101,98,256396
1.6618,0.3421,39.7300,101,98,256400
1.6569,0.3421,39.7300,101,98,256404
1.6911,0.3519,39.5700,101,98,256407
1.6520,0.3470,39.7000,101,98,256411
1.7009,0.3470,39.6400,101,98,256414
1.6520,0.3421,39.7000,101,98,256417
1.6569,0.3421,39.7000,101,98,256421
1.6716,0.3470,39.6000,101,98,256424
1.6618,0.3372,39.7300,101,98,256428
1.6960,0.3470,39.2800,101,98,256432
1.6716,0.3421,39.7300,101,98,256435
