ecg,gsr,temp,hr,spo2,timest
1.6569,0.2346,38.8100,95,92,126251
1.6911,0.2395,38.3600,95,92,126254
1.6667,0.2297,38.5800,95,92,126258
1.6569,0.2346,38.5200,95,92,126261
1.6716,0.2444,38.5500,95,92,126264
1.6667,0.2346,38.6200,95,92,126268
1.7204,0.2444,38.4000,95,92,126271
1.6960,0.2297,38.5200,95,92,126274
1.6960,0.2346,38.6200,95,92,126278
1.6911,0.2395,38.6500,95,92,126281
1.6862,0.2346,38.6200,95,92,126284
1.7400,0.2688,38.4000,95,92,126288
1.7058,0.2688,38.5500,95,92,126291
1.7155,0.2199,38.5500,95,92,126295
1.7155,0.2395,38.6200,95,92,126298
1.7253,0.2346,38.6200,95,92,126302
1.7595,0.2444,38.4900,95,92,126305
1.7546,0.2444,38.5500,95,92,126308
1.7546,0.2297,38.4900,95,92,126312
1.7400,0.2346,38.5800,95,92,126315
1.7400,0.2346,38.6800,95,92,126318
1.7693,0.2444,38.4600,95,92,126322
1.7400,0.2639,38.6200,95,92,126325
1.7791,0.2395,38.4600,95,92,126328
1.7204,0.2346,38.5500,95,92,126332
1.7204,0.2346,38.6200,95,92,126336
1.7400,0.2395,38.5500,95,92,126339
1.7400,0.2346,38.8100,95,92,126342
1.7742,0.2346,38.4000,95,92,126346
1.7644,0.2297,38.6200,95,92,126349
1.7742,0.2346,38.6200,95,92,126352
1.7986,0.2444,38.5500,95,92,126356
1.7840,0.2346,38.5800,95,92,126359
1.8280,0.2737,38.4000,95,92,126362
1.7937,0.2444,38.4900,95,92,126366
1.7889,0.2297,38.5800,95,92,126369
1.8084,0.2395,38.5500,95,92,126372
1.8084,0.2346,38.6200,95,92,126375
1.8475,0.2444,38.3000,95,92,126380
1.8035,0.2346,38.4900,95,92,126383
1.7937,0.2346,38.5800,95,92,126386
1.8084,0.2395,38.6200,95,92,126390
1.8133,0.2395,38.5800,95,92,126393
1.8817,0.2493,38.4000,95,92,126396
1.8426,0.2395,38.5200,95,92,126400
1.8426,0.2248,38.5200,95,92,126403
1.8524,0.2346,38.6200,95,92,126406
1.8622,0.2444,38.6200,95,92,126410
1.9110,0.2493,38.5500,95,92,126413
1.8915,0.2395,38.4900,95,92,126416
1.9062,0.2395,38.4900,95,92,126419
1.8964,0.2346,38.6200,95,92,126424
1.8915,0.2346,38.6200,95,92,126427
1.9257,0.2493,38.4600,95,92,126430
1.8719,0.2395,38.6200,95,92,126434
1.8866,0.2444,38.4900,95,92,126437
1.8475,0.2297,38.6800,95,92,126440
