ecg,gsr,temp,hr,spo2,timest
1.4858,0.4888,37.1300,61,98,304496
1.5152,0.4839,37.8700,61,98,304499
1.5591,0.4888,37.9000,61,98,304504
1.5591,0.4888,37.9300,61,98,304507
1.5982,0.4985,37.7100,61,98,304512
1.5836,0.4888,37.8700,61,98,304515
1.5934,0.4936,37.8300,61,98,304518
1.5836,0.4888,37.9000,61,98,304522
1.6031,0.4839,37.9300,61,98,304525
1.6373,0.4985,37.8300,61,98,304528
1.6471,0.4888,37.9000,61,98,304532
1.6764,0.4985,37.7700,61,98,304535
1.6569,0.4888,37.9000,61,98,304538
1.6618,0.4888,37.9300,61,98,304541
1.6813,0.4985,37.7700,61,98,304545
1.6862,0.4888,37.9000,61,98,304548
1.7204,0.4936,37.7100,61,98,304551
1.7058,0.4888,37.9000,61,98,304556
1.7204,0.4888,37.9300,61,98,304559
1.7449,0.4985,37.8000,61,98,304562
1.7302,0.4888,37.9300,61,98,304566
1.7742,0.4985,37.6200,61,98,304569
1.7693,0.4936,37.8000,61,98,304572
1.7546,0.4888,37.8700,61,98,304575
1.7693,0.4936,37.8700,61,98,304579
1.7498,0.4888,37.8700,61,98,304582
1.8328,0.5034,37.6200,61,98,304585
1.7546,0.4888,37.8700,61,98,304589
1.7546,0.4888,37.8700,61,98,304592
1.7644,0.4888,37.8700,61,98,304595
1.7644,0.4888,37.9000,61,98,304600
1.8280,0.5034,37.7100,61,98,304603
1.7986,0.4936,37.8300,61,98,304606
1.7986,0.4985,37.8000,61,98,304610
1.7889,0.4888,37.9300,61,98,304613
1.7791,0.4839,37.8700,61,98,304616
1.8084,0.4985,37.8300,61,98,304620
1.7937,0.4888,37.8700,61,98,304623
1.8084,0.5034,37.7700,61,98,304626
1.7889,0.4888,37.9000,61,98,304629
1.7889,0.4936,37.9000,61,98,304633
1.8182,0.4985,37.7400,61,98,304636
1.7937,0.5034,37.9000,61,98,304640
1.8182,0.4839,37.7700,61,98,304644
1.7986,0.4839,37.9600,61,98,304647
1.7937,0.4790,37.8700,61,98,304650
1.8084,0.4936,37.8000,61,98,304654
1.7889,0.4936,37.8700,61,98,304657
1.8182,0.4936,37.6800,61,98,304660
1.7742,0.4888,38.1100,61,98,304663
1.7693,0.4888,37.9000,61,98,304667
1.7889,0.4985,37.8000,61,98,304670
1.7595,0.4888,37.9300,61,98,304673
1.7986,0.5083,37.6800,61,98,304677
1.7546,0.4888,37.7400,61,98,304680
1.7595,0.4936,37.9000,61,98,304684
1.7693,0.4936,37.8700,61,98,304688
1.7693,0.4936,37.9000,61,98,304691
1.8231,0.5083,37.6500,61,98,304694
1.7937,0.4985,37.8000,61,98,304698
1.7937,0.4888,37.9000,61,98,304701
1.7937,0.4888,37.8000,61,98,304704
1.7889,0.4790,37.9000,61,98,304707
1.8377,0.4985,37.7100,61,98,304711
1.8133,0.4936,37.9000,61,98,304714
1.8182,0.4985,37.8000,61,98,304717
1.8035,0.4888,37.9000,61,98,304721
1.8035,0.4888,38.0800,61,98,304724
1.8280,0.5327,37.8000,61,98,304728
1.7986,0.4936,37.9300,61,98,304732
1.8133,0.4936,37.8300,61,98,304735
1.7986,0.4888,37.9000,61,98,304738
1.8035,0.4888,37.9300,61,98,304741
1.8182,0.4936,37.8000,61,98,304745
1.8035,0.4888,37.8700,61,98,304748
1.8328,0.4936,37.7700,61,98,304751
1.8133,0.4888,37.9300,61,98,304755
1.8280,0.4839,37.8700,61,98,304758
1.8671,0.4985,37.8000,61,98,304761
1.8768,0.4888,37.8700,61,98,304765
1.9355,0.4839,37.6800,61,98,304769
1.9306,0.4888,37.4600,61,98,304772
1.9208,0.4936,37.9000,61,98,304776
1.9404,0.4985,37.8300,61,98,304779
1.9208,0.4888,37.3400,61,98,304782
1.9697,0.4985,37.6200,61,98,304785
1.9355,0.4839,37.8700,61,98,304789
1.9550,0.4888,37.9000,61,98,304792
1.9795,0.4839,37.8700,61,98,304795
1.9795,0.4888,37.9600,61,98,304799
2.0283,0.4936,37.6200,61,98,304802
1.9795,0.4936,37.2800,61,98,304805
1.9404,0.4888,37.8700,61,98,304809
1.9110,0.4888,37.9300,61,98,304813
1.8915,0.4936,37.9000,61,98,304816
1.9013,0.5034,37.7400,61,98,304819
1.8622,0.4936,38.0800,61,98,304823
1.8671,0.4888,37.8000,61,98,304826
1.8573,0.4888,38.0800,61,98,304829
1.8573,0.4985,37.9000,61,98,304833
1.8768,0.4985,37.7400,61,98,304836
1.8133,0.4888,37.9000,61,98,304839
1.7937,0.4936,37.7400,61,98,304843
1.7400,0.4888,37.9000,61,98,304846
1.7204,0.4985,37.9300,61,98,304849
1.7253,0.4936,37.8000,61,98,304854
1.7107,0.4888,37.9600,61,98,304857
1.7351,0.4936,37.7400,61,98,304860
1.7155,0.4888,37.9000,61,98,304863
1.7253,0.4888,37.9900,61,98,304867
1.7449,0.4839,37.7700,61,98,304870
1.7302,0.4839,37.9300,61,98,304873
1.7644,0.4985,37.6800,61,98,304877
1.7449,0.4888,37.9300,61,98,304880
1.7595,0.4936,37.9000,61,98,304883
1.7840,0.4936,37.8300,61,98,304887
1.7644,0.4888,37.9000,61,98,304890
1.8133,0.4985,37.6200,61,98,304893
1.7889,0.4936,37.7700,61,98,304898
1.7791,0.4888,37.9000,61,98,304901
1.7742,0.5181,37.8700,61,98,304904
1.7693,0.4888,37.9000,61,98,304907
1.8133,0.5083,37.6800,61,98,304911
1.7742,0.4936,37.8300,61,98,304914
1.7644,0.4888,37.8300,61,98,304917
1.7693,0.4839,37.8700,61,98,304921
1.7693,0.4839,37.9000,61,98,304924
1.8475,0.4985,37.7400,61,98,304927
1.8622,0.4985,37.8300,61,98,304931
1.9306,0.4936,37.7700,61,98,304934
1.9844,0.4888,37.8700,61,98,304937
2.1212,0.4888,37.9000,61,98,304942
2.3754,0.5132,37.8300,61,98,304945
2.6784,0.4839,37.9300,61,98,304948
3.1085,0.4985,37.7100,61,98,304951
3.4457,0.4888,37.9000,61,98,304955
3.7341,0.4888,37.9300,61,98,304958
3.9443,0.4936,37.8000,61,98,304961
3.9247,0.4643,37.9300,61,98,304965
3.8123,0.4888,37.7100,61,98,304968
3.4946,0.4839,37.8000,61,98,304971
3.0450,0.4888,37.9000,61,98,304975
2.6246,0.5425,37.7400,61,98,304978
2.1896,0.4839,37.9300,61,98,304982
1.8622,0.4985,37.6500,61,98,304985
1.5836,0.4888,37.9000,61,98,304989
1.4076,0.4643,37.9000,61,98,304992
1.3441,0.4936,37.8700,61,98,304995
1.3050,0.4839,37.9000,61,98,304999
1.3636,0.4985,37.5900,61,98,305002
1.3636,0.4936,37.8300,61,98,305005
1.3930,0.4643,37.9000,61,98,305009
1.4418,0.4888,37.9000,61,98,305012
1.4712,0.4839,37.9000,61,98,305015
1.5396,0.5034,37.6500,61,98,305018
1.5200,0.4936,37.8700,61,98,305022
1.5347,0.4888,37.8700,61,98,305026
1.5591,0.4888,37.9000,61,98,305029
1.5738,0.4790,37.9000,61,98,305033
1.6325,0.4985,37.7100,61,98,305036
1.6129,0.5181,37.8700,61,98,305039
1.6325,0.4936,37.7700,61,98,305043
1.6325,0.4888,37.8700,61,98,305046
1.6422,0.4888,37.9000,61,98,305049
1.6764,0.4936,37.8000,61,98,305053
1.6716,0.4888,37.8700,61,98,305056
1.7009,0.4985,37.7100,61,98,305059
1.6862,0.4888,38.0800,61,98,305062
1.6911,0.4888,37.9000,61,98,305067
1.7204,0.4888,37.8000,61,98,305070
1.7155,0.4888,37.9300,61,98,305073
1.7595,0.4936,37.7400,61,98,305077
1.7498,0.4888,37.8700,61,98,305080
1.7986,0.4888,37.9000,61,98,305083
1.8035,0.4936,37.8000,61,98,305087
1.7986,0.5083,37.9000,61,98,305090
1.8524,0.4985,37.6500,61,98,305093
1.8280,0.4936,37.8000,61,98,305096
1.8182,0.4888,37.9000,61,98,305100
1.8426,0.4936,37.8300,61,98,305103
1.8328,0.4888,37.9000,61,98,305106
1.8915,0.5034,37.5900,61,98,305111
1.9599,0.5034,37.7400,61,98,305115
1.9404,0.4936,37.8300,61,98,305119
1.9599,0.4985,37.7400,61,98,305122
1.9648,0.4888,37.9600,61,98,305125
2.0186,0.4888,37.9000,61,98,305129
2.0332,0.4936,37.8300,61,98,305132
2.0283,0.4888,37.8700,61,98,305135
2.0870,0.4985,37.7400,61,98,305139
2.0626,0.4888,38.0500,61,98,305142
2.0772,0.4888,38.1500,61,98,305145
2.1359,0.4936,37.7700,61,98,305148
2.1163,0.4888,37.8000,61,98,305153
2.1603,0.4985,37.7700,61,98,305156
2.1505,0.4839,37.8300,61,98,305159
2.1799,0.4888,38.0800,61,98,305163
2.2385,0.4839,37.7700,61,98,305166
2.2092,0.4888,37.9300,61,98,305169
2.2532,0.4936,37.9600,61,98,305173
2.2239,0.4839,37.9300,61,98,305176
2.2287,0.4888,37.9300,61,98,305179
2.2532,0.4985,37.8000,61,98,305182
2.2336,0.4839,37.9000,61,98,305186
2.2776,0.4985,37.6200,61,98,305189
2.2287,0.4839,37.8000,61,98,305192
2.2190,0.4888,37.9300,61,98,305197
2.2190,0.4936,37.7700,61,98,305200
2.1994,0.4839,37.8700,61,98,305203
2.2385,0.5034,37.6200,61,98,305207
2.1652,0.4839,37.8300,61,98,305210
2.1163,0.4839,37.8300,61,98,305213
2.1017,0.4936,37.8700,61,98,305217
2.0381,0.4888,37.9300,61,98,305220
2.0430,0.5034,37.9000,61,98,305223
1.9501,0.4888,37.8700,61,98,305226
1.8964,0.4839,37.8000,61,98,305230
1.8182,0.4888,38.1100,61,98,305233
1.7595,0.4936,37.9000,61,98,305236
1.7351,0.4936,37.8000,61,98,305241
1.6716,0.4985,37.8700,61,98,305244
1.6422,0.4936,37.7400,61,98,305247
1.5787,0.4888,37.9000,61,98,305251
1.5494,0.4888,37.9000,61,98,305254
1.5347,0.4839,37.7400,61,98,305257
1.5054,0.4888,37.9000,61,98,305260
1.5152,0.4936,37.7700,61,98,305264
1.4907,0.5034,37.8700,61,98,305267
1.4858,0.4839,37.9300,61,98,305270
1.5005,0.4888,37.7100,61,98,305274
1.4663,0.4839,37.9000,61,98,305277
1.4858,0.4936,37.6800,61,98,305281
1.4712,0.4888,38.0200,61,98,305285
1.4761,0.4839,37.9000,61,98,305288
1.4956,0.4936,37.6200,61,98,305291
1.5005,0.4839,37.9000,61,98,305295
1.5249,0.4985,37.5900,61,98,305298
1.5005,0.4985,37.8300,61,98,305301
1.5103,0.4888,37.8700,61,98,305304
1.5200,0.4936,37.8700,61,98,305308
1.5152,0.4790,37.8700,61,98,305311
1.5689,0.5034,37.6200,61,98,305314
1.5543,0.4985,37.7700,61,98,305318
1.5640,0.4839,37.8300,61,98,305321
1.5738,0.4888,37.9000,61,98,305325
1.5836,0.4888,37.9000,61,98,305329
1.6373,0.5034,37.7700,61,98,305332
1.6129,0.4888,37.8700,61,98,305335
1.6178,0.4888,37.7700,61,98,305338
1.6129,0.4888,37.9300,61,98,305342
1.6276,0.4888,37.9300,61,98,305345
1.6716,0.5034,37.7100,61,98,305348
1.6618,0.4888,37.9000,61,98,305352
1.6862,0.4985,37.7400,61,98,305355
1.6716,0.4888,37.9000,61,98,305358
1.6813,0.4888,37.9600,61,98,305362
1.7204,0.4888,37.8000,61,98,305366
1.6960,0.4888,37.9000,61,98,305369
1.7302,0.4888,37.7400,61,98,305373
1.7155,0.4936,37.8700,61,98,305376
1.7351,0.4888,38.1100,61,98,305379
1.7644,0.4888,37.7400,61,98,305382
1.7595,0.4643,37.9000,61,98,305386
1.7889,0.4985,37.6500,61,98,305389
1.7546,0.4643,37.9000,61,98,305392
1.7546,0.4888,37.9000,61,98,305396
1.7644,0.4936,37.8300,61,98,305399
1.7546,0.5181,37.9000,61,98,305402
1.7937,0.4985,37.6200,61,98,305406
1.7693,0.4936,37.7700,61,98,305410
1.7546,0.4936,37.9000,61,98,305413
1.7644,0.4936,37.9000,61,98,305417
1.7742,0.4888,37.9000,61,98,305420
1.8133,0.5034,37.6800,61,98,305423
