ecg,gsr,temp,hr,spo2,timest
1.7351,0.0587,40.0000,74,98,255162
1.7693,0.0635,39.8900,74,98,255165
1.7498,0.0587,39.9600,74,98,255169
1.7791,0.0538,39.8900,74,98,255172
1.7449,0.0538,40.0000,74,98,255175
1.7498,0.0538,40.1000,74,98,255179
1.7693,0.0635,39.9600,74,98,255182
1.7546,0.0587,39.9600,74,98,255185
1.7840,0.0587,39.8000,74,98,255190
1.8084,0.0635,39.7300,73,98,255194
1.7791,0.0538,39.8600,73,98,255198
1.7791,0.0538,40.0000,73,98,255201
1.7840,0.0831,40.0000,73,98,255204
1.7791,0.0538,40.0300,73,98,255208
1.8231,0.0733,40.3300,73,98,255211
1.7937,0.0538,39.9600,73,98,255214
1.7889,0.0587,39.8900,73,98,255217
1.7791,0.0587,40.0000,73,98,255221
1.7986,0.0538,40.0000,73,98,255224
1.8035,0.0635,39.9300,73,98,255227
1.7742,0.0587,40.1000,73,98,255232
1.7937,0.0587,39.8900,73,98,255235
1.7693,0.0587,39.9600,73,98,255238
1.7644,0.0587,40.1000,73,98,255242
1.7889,0.0635,39.9300,73,98,255245
1.7693,0.0587,40.2300,73,98,255248
1.7986,0.0587,39.8900,73,98,255252
1.7644,0.0342,39.9600,73,98,255255
1.7693,0.0538,40.0300,73,98,255258
1.7791,0.0587,39.9300,73,98,255261
1.7595,0.0587,39.9600,73,98,255265
1.7791,0.0587,39.8000,73,98,255268
1.7546,0.0342,40.0000,73,98,255271
1.7595,0.0538,40.0300,73,98,255276
1.7791,0.0635,39.9600,73,98,255279
1.7693,0.0635,40.0000,73,98,255282
1.8084,0.0635,39.7700,73,98,255286
1.7937,0.0635,40.0600,73,98,255289
1.7791,0.0587,40.2000,73,98,255292
1.7937,0.0635,39.9600,73,98,255295
1.7840,0.0587,39.9600,73,98,255299
1.8280,0.0880,39.7000,73,98,255302
1.7889,0.0587,39.9600,73,98,255305
1.7791,0.0538,40.2000,73,98,255309
1.7840,0.0782,39.9600,73,98,255312
1.7791,0.0538,40.0300,73,98,255315
1.8280,0.0733,40.0000,73,98,255320
1.8035,0.0733,39.9600,73,98,255323
1.8035,0.0587,39.9300,73,98,255326
1.7937,0.0587,40.0000,73,98,255329
1.7937,0.0587,40.0300,73,98,255333
1.8280,0.0684,39.8900,73,98,255336
1.8035,0.0587,40.0000,73,98,255339
1.8133,0.0587,39.9300,73,98,255343
1.7937,0.0587,40.0000,73,98,255346
1.7840,0.0587,40.0300,73,98,255349
1.8182,0.0684,39.8600,73,98,255353
1.7986,0.0684,39.9600,73,98,255356
1.8182,0.0635,39.8900,73,98,255360
1.7889,0.0538,39.9300,73,98,255364
1.7937,0.0587,40.0000,73,98,255367
1.8084,0.0635,40.0000,73,98,255370
1.7986,0.0587,39.8900,73,98,255373
1.8231,0.0587,39.8300,73,98,255377
1.8035,0.0587,39.9600,73,98,255380
1.8035,0.0587,39.8900,73,98,255383
1.8280,0.0733,39.8900,73,98,255387
1.8084,0.0538,40.0000,73,98,255390
1.8573,0.0635,39.8000,73,98,255393
1.8280,0.0733,39.9300,73,98,255397
1.8475,0.0587,40.0000,73,98,255400
1.8622,0.0635,39.9600,73,98,255404
1.8524,0.0587,39.9600,73,98,255407
1.9159,0.0684,39.7000,73,98,255411
1.8964,0.0635,39.8900,73,98,255414
1.8964,0.0538,40.0300,73,98,255417
1.9062,0.0635,40.0000,73,98,255421
1.9062,0.0587,40.0000,73,98,255424
1.9697,0.0733,39.8300,73,98,255427
1.9257,0.0538,39.9300,73,98,255431
1.9257,0.0538,39.9300,73,98,255434
1.9159,0.0635,40.0300,73,98,255437
1.8964,0.0635,40.0000,73,98,255440
1.9208,0.0684,39.8900,73,98,255444
1.8768,0.0635,39.9600,73,98,255448
1.8573,0.0587,40.0000,73,98,255451
1.8182,0.0684,40.0000,73,98,255455
1.8035,0.0587,40.0000,73,98,255458
1.8133,0.0684,40.0000,73,98,255461
