ecg,gsr,temp,hr,spo2,timest
1.7791,0.3030,38.4300,97,93,63726
1.8035,0.3030,38.2700,97,93,63730
1.7742,0.2981,38.4000,97,93,63733
1.7742,0.2981,38.4600,97,93,63736
1.7791,0.3030,38.3300,97,93,63739
1.7742,0.3030,38.5800,97,93,63744
1.8231,0.3030,38.3300,97,93,63747
1.7986,0.3079,38.4300,97,93,63750
1.8133,0.3030,38.5800,97,93,63753
1.8377,0.3079,38.4000,97,93,63756
1.8280,0.3030,38.4000,97,93,63760
1.8622,0.3128,38.3300,97,93,63763
1.8377,0.3030,38.4600,97,93,63766
1.8475,0.3030,38.4600,97,93,63769
1.8866,0.3079,37.9900,97,93,63773
1.8622,0.3030,38.5200,97,93,63776
1.9013,0.3128,38.4000,97,93,63779
1.8719,0.2981,38.4000,97,93,63782
1.8866,0.3030,38.4600,97,93,63787
1.9208,0.3030,38.3600,97,93,63790
1.9159,0.3030,38.4900,97,93,63793
1.9501,0.3128,38.3300,97,93,63796
1.9501,0.2981,38.4600,97,93,63800
1.9110,0.3079,38.4900,97,93,63803
1.9159,0.3030,38.3300,97,93,63806
1.9062,0.3079,38.4300,97,93,63809
1.8964,0.3079,38.2400,97,93,63813
1.8475,0.3030,38.5500,97,93,63816
1.8328,0.2981,38.4600,97,93,63819
1.8426,0.3128,38.3000,97,93,63822
1.8035,0.3177,38.6200,97,93,63826
1.8182,0.3079,38.3000,97,93,63830
1.8084,0.2884,38.4900,97,93,63833
1.7840,0.3030,38.4000,97,93,63836
1.7986,0.3128,38.3600,97,93,63840
1.7840,0.2981,38.4300,97,93,63843
1.7889,0.3128,38.3600,97,93,63846
1.7546,0.3030,38.4600,97,93,63849
1.7595,0.3030,38.4600,97,93,63853
1.7791,0.3030,38.4000,97,93,63856
1.7644,0.3079,38.4300,97,93,63859
1.7840,0.3079,38.3300,97,93,63862
1.7546,0.2981,38.4600,97,93,63866
1.7595,0.3030,38.5800,97,93,63869
1.8084,0.3128,38.2700,97,93,63873
1.7937,0.3079,38.4300,97,93,63876
1.8084,0.3079,38.3300,97,93,63880
1.7791,0.3030,38.4300,97,93,63883
1.7595,0.3275,38.4300,97,93,63886
1.7693,0.3128,38.3600,97,93,63889
1.7449,0.3079,38.4300,97,93,63893
1.7693,0.2884,38.3000,97,93,63896
1.7693,0.2981,38.4300,97,93,63899
1.7889,0.3177,38.4300,97,93,63902
1.8524,0.3079,38.3600,97,93,63906
1.8964,0.3079,38.4300,97,93,63909
2.0039,0.3226,38.3300,97,93,63912
2.1163,0.3030,38.3000,97,93,63916
2.2825,0.3030,38.4300,97,93,63920
2.5611,0.3177,38.2700,97,93,63923
2.7224,0.3079,38.4000,97,93,63926
2.9619,0.3030,38.3300,97,93,63929
3.1183,0.3030,38.4600,97,93,63932
3.1916,0.3030,37.9300,97,93,63936
3.1525,0.3128,38.3300,97,93,63939
2.8886,0.3079,38.4000,97,93,63942
2.6100,0.3030,38.3300,97,93,63945
2.3265,0.2981,38.4600,97,93,63949
2.0381,0.3128,38.4600,97,93,63952
1.8622,0.3177,38.3300,97,93,63955
1.6667,0.3079,38.4000,97,93,63959
1.5396,0.3030,38.3600,97,93,63963
1.4418,0.2981,38.4600,97,93,63966
1.3832,0.3030,38.4600,97,93,63969
1.3832,0.3128,38.2700,97,93,63972
1.3441,0.3079,38.4000,97,93,63976
1.3392,0.3030,38.4000,97,93,63979
1.3587,0.2884,38.4300,97,93,63982
1.3734,0.3030,38.4300,97,93,63985
1.4418,0.3177,38.2700,97,93,63989
1.4516,0.3079,38.4000,97,93,63992
1.4614,0.3030,38.3600,97,93,63995
1.4712,0.3030,38.6200,97,93,63998
1.4809,0.3030,38.4600,97,93,64003
1.5396,0.3177,38.2400,97,93,64006
1.5200,0.3079,37.7400,97,93,64009
1.5543,0.2981,38.4300,97,93,64012
1.5494,0.3030,38.4300,97,93,64016
1.5738,0.3030,38.4300,97,93,64019
1.6276,0.3079,38.2400,97,93,64022
1.5885,0.3079,38.3600,97,93,64025
1.5738,0.3128,38.4000,97,93,64029
1.5885,0.3030,38.4900,97,93,64032
1.6276,0.3079,38.4600,97,93,64035
1.6569,0.3324,38.2400,97,93,64038
1.6227,0.3079,38.4000,97,93,64043
1.6227,0.2981,38.4000,97,93,64046
1.6325,0.3079,38.4300,97,93,64049
1.6373,0.2981,38.3600,97,93,64052
1.7058,0.3226,38.3300,97,93,64056
1.6764,0.3079,38.4000,97,93,64059
1.6716,0.3030,38.4000,97,93,64062
1.6667,0.3079,38.4900,97,93,64065
1.6667,0.3030,38.4600,97,93,64069
1.7107,0.3275,38.2100,97,93,64072
1.7009,0.3128,38.3600,97,93,64075
1.6422,0.2981,38.4300,97,93,64078
1.6373,0.3030,38.4000,97,93,64082
1.6422,0.3030,38.4600,97,93,64086
1.7107,0.3226,38.1800,97,93,64089
1.7009,0.3030,38.3600,97,93,64092
1.7155,0.2981,38.4000,97,93,64095
1.7155,0.3030,38.4300,97,93,64099
1.7009,0.3030,38.4900,97,93,64102
1.7351,0.3275,38.1800,97,93,64105
1.7009,0.3079,38.4600,97,93,64108
1.7302,0.2884,38.4000,97,93,64112
1.7498,0.3079,38.4300,97,93,64115
1.7302,0.3030,38.4900,97,93,64118
1.7742,0.3128,38.1500,97,93,64121
1.7253,0.3030,38.3300,97,93,64125
1.7058,0.3030,38.4000,97,93,64129
1.7253,0.3079,38.4300,97,93,64132
1.7400,0.2981,38.4900,97,93,64135
1.8084,0.3177,38.1500,97,93,64139
1.7742,0.3030,38.4000,97,93,64142
1.7742,0.3079,38.4300,97,93,64145
1.7742,0.3128,38.4300,97,93,64148
1.7693,0.3030,38.4300,97,93,64152
1.8084,0.3421,38.1800,97,93,64155
1.7840,0.3079,38.4000,97,93,64158
1.7791,0.2981,38.4300,97,93,64161
1.8133,0.3079,38.4000,97,93,64165
1.7937,0.3030,38.4900,97,93,64168
1.8475,0.3128,38.1800,97,93,64172
1.8475,0.3030,38.4000,97,93,64175
1.8133,0.3030,38.4600,97,93,64179
1.8280,0.2884,38.4000,97,93,64182
1.8133,0.3030,38.4000,97,93,64185
1.8671,0.3128,38.1800,97,93,64188
1.8475,0.2981,38.4300,97,93,64192
1.8622,0.2933,38.4600,97,93,64195
1.8719,0.3177,38.4000,97,93,64198
1.8622,0.3030,38.4900,97,93,64201
1.9062,0.3128,38.1500,97,93,64205
1.8964,0.3128,38.3300,97,93,64208
1.8768,0.3030,38.4000,97,93,64211
1.8915,0.3079,38.4000,97,93,64215
1.8768,0.2981,38.4600,97,93,64219
1.9062,0.3128,38.3300,97,93,64222
1.8866,0.3079,38.4600,97,93,64225
1.8915,0.3030,38.4600,97,93,64228
1.9062,0.3079,38.4000,97,93,64231
1.9062,0.2884,38.4600,97,93,64235
1.9110,0.3177,38.2400,97,93,64238
1.8622,0.3372,38.4600,97,93,64241
1.8573,0.3030,38.4600,97,93,64244
1.8671,0.3128,38.3300,97,93,64248
1.8719,0.3030,38.4300,97,93,64251
1.8573,0.3079,38.2100,97,93,64254
1.8231,0.2981,38.3300,97,93,64258
1.8035,0.2981,38.4600,97,93,64262
1.8133,0.3128,38.3600,97,93,64265
1.7889,0.3030,38.4300,97,93,64268
1.8182,0.3128,38.2100,97,93,64271
1.8573,0.3177,38.1800,97,93,64276
1.8231,0.3030,38.4000,97,93,64279
1.8280,0.3030,38.4900,97,93,64283
1.8231,0.3079,38.4300,97,93,64286
1.8035,0.3030,38.4600,97,93,64289
1.8475,0.3177,38.2100,97,93,64292
1.8182,0.3079,38.3300,97,93,64296
1.8182,0.2884,38.4900,97,93,64300
1.8328,0.3079,38.4300,97,93,64303
1.8084,0.3030,38.4300,97,93,64306
1.8426,0.3128,38.1500,97,93,64310
1.8035,0.3030,38.3600,97,93,64313
1.8328,0.2933,38.5500,97,93,64316
1.8573,0.3079,38.4900,97,93,64319
1.8328,0.3030,38.4600,97,93,64323
1.8719,0.3226,38.1800,97,93,64326
1.8280,0.3079,38.3300,97,93,64329
1.8426,0.3030,38.4900,97,93,64332
1.8573,0.2884,38.4300,97,93,64336
1.8328,0.3030,38.4300,97,93,64339
1.8719,0.3177,38.1500,97,93,64343
1.8475,0.3079,38.4000,97,93,64346
1.8377,0.2981,38.4600,97,93,64350
1.8475,0.2981,38.4300,97,93,64353
1.8328,0.3030,38.4600,97,93,64356
1.8915,0.3128,38.2100,97,93,64359
1.8719,0.3030,38.4000,97,93,64363
1.8768,0.3030,37.9900,97,93,64366
1.9013,0.3079,38.3600,97,93,64369
1.8915,0.3226,38.4300,97,93,64372
1.9404,0.3079,38.1500,97,93,64375
1.9159,0.2981,38.4000,97,93,64379
1.9404,0.3030,38.4600,97,93,64382
1.9648,0.3079,38.4000,97,93,64386
1.9404,0.3030,38.4600,97,93,64389
1.9795,0.3128,38.2100,97,93,64393
1.9453,0.3079,38.3300,97,93,64396
1.9453,0.3030,38.4600,97,93,64399
1.9697,0.3128,38.4000,97,93,64402
1.9453,0.3177,38.4300,97,93,64406
1.9697,0.3079,38.3000,97,93,64409
1.9208,0.3030,38.4300,97,93,64412
1.9159,0.3030,38.4600,97,93,64415
1.9257,0.3079,38.3600,97,93,64419
1.8866,0.3030,38.4600,97,93,64422
1.8866,0.3421,38.2400,97,93,64425
1.8328,0.3079,38.4300,97,93,64429
1.8280,0.3030,38.4600,97,93,64433
1.8426,0.3177,38.4300,97,93,64436
1.8182,0.3030,38.4300,97,93,64439
1.8719,0.3079,38.2700,97,93,64442
1.8573,0.3079,38.3300,97,93,64446
1.8182,0.2933,38.4300,97,93,64449
1.8035,0.3177,38.3300,97,93,64452
1.7595,0.3030,38.4600,97,93,64455
1.7840,0.3128,38.2100,97,93,64459
1.7595,0.2981,38.4300,97,93,64462
1.7840,0.3030,38.4900,97,93,64465
1.8133,0.3079,38.4300,97,93,64468
1.8182,0.3030,38.4600,97,93,64473
1.8671,0.3128,38.2400,97,93,64476
1.8573,0.3030,38.4600,97,93,64479
1.8622,0.3226,38.4600,97,93,64482
1.8719,0.3079,37.6500,97,93,64486
1.8280,0.3030,38.4300,97,93,64489
1.8231,0.3128,38.2400,97,93,64492
1.7937,0.3177,38.3600,97,93,64495
1.8084,0.3030,38.4600,97,93,64499
1.8622,0.3079,38.3000,97,93,64502
1.8866,0.3030,38.4300,97,93,64505
1.9648,0.3128,38.2700,97,93,64508
1.9844,0.2884,38.4600,97,93,64513
2.0870,0.3275,38.4600,97,93,64516
2.2239,0.3079,38.4000,97,93,64519
2.3900,0.2884,38.4600,97,93,64522
2.6197,0.3030,38.3600,97,93,64525
2.8006,0.3030,38.5800,97,93,64529
3.0205,0.3030,38.4300,97,93,64532
3.2551,0.3128,38.3300,97,93,64535
3.3187,0.3030,38.4300,97,93,64538
3.3236,0.3177,38.3000,97,93,64542
3.0743,0.2981,38.4000,97,93,64545
2.7517,0.3030,38.4300,97,93,64548
2.4242,0.2981,38.3300,97,93,64551
2.1017,0.3030,38.4900,97,93,64556
1.9013,0.3030,38.3000,97,93,64559
1.6373,0.3030,38.4600,97,93,64562
1.5005,0.3030,38.4600,97,93,64565
1.4125,0.2981,38.3600,97,93,64569
1.3441,0.3030,38.4900,97,93,64572
1.3539,0.3128,38.3300,97,93,64575
1.3196,0.3030,38.4300,97,93,64578
1.3148,0.3421,38.4600,97,93,64582
1.3636,0.3079,38.3300,97,93,64585
1.3685,0.3030,38.5200,97,93,64588
1.4027,0.3128,38.3300,97,93,64591
1.4223,0.2981,38.4900,97,93,64595
1.4663,0.3030,38.4300,97,93,64599
1.5005,0.3079,38.4000,97,93,64602
1.4907,0.3030,38.5200,97,93,64605
1.5249,0.3079,38.3600,97,93,64609
1.5298,0.3079,38.4000,97,93,64612
1.5640,0.3030,38.4300,97,93,64615
1.5836,0.3030,38.4000,97,93,64618
1.5934,0.3030,38.4300,97,93,64622
1.6422,0.3079,38.3300,97,93,64625
1.6325,0.3030,38.4300,97,93,64628
1.6227,0.3079,38.4600,97,93,64631
1.6373,0.3128,38.2700,97,93,64634
1.6178,0.3030,38.4300,97,93,64638
1.6618,0.3030,38.2700,97,93,64642
